PPC Dashboard Leads Data updated till 31st-July-26,,,,,Total,,,July' 2026,,,June' 2026,,,May' 2026,,,Apr' 2026,,,Mar' 2026,,,Feb' 2026,,,Jan' 2026,,,Dec' 2025,,,Nov' 2025,,,Oct' 2025,,,Sep' 2025,,,Aug' 2025,,,July' 2025,,,June' 2025,,,May' 2025,,,Apr' 2025,,,Mar' 2025,,,Feb' 2025,,,Jan' 2025,,,Dec' 2024,,,Nov' 2024,,,Oct' 2024,,,Sep' 2024,,,Aug' 2024,,,July' 2024,,,June' 2024,,,May' 2024,,,Apr' 2024,,,Mar' 2024,,,Feb' 2024,,,Jan' 2024,,,Dec' 2023,,,Nov' 2023,,,Oct' 2023,,,Sep' 2023,,,Aug' 2023,,,Jul' 2023,,,Jun' 2023,,,May' 2023,,,April' 2023,,,,,,February' 2023,,,January' 2023,,,December' 2022,,,November' 2022,,,October' 2022,,,September' 2022,,,August' 2022,,,July' 2022,,,June' 2022,,,,,June' 2022,,
520,Hire LPO,https://www.virtualemployee.com/da/hire-Ipo/,Vivek Kashyap,Rajni Goswami,0,0.00%,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,Hire Web designer,https://www.virtualemployee.com/service/hire-web-designer-h/,old,old,1,0.00%,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Outsourcing Development,https://www.virtualemployee.com/service/outsourcing-development/,old,old,2,0.00%,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,1,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,Hire Virtual Assistants Mobile Version,https://www.virtualemployee.com/lp/hire-virtual-assistants-b/m/,Irfan,Mukhtestwar,0,0.00%,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,Front End Developer,https://www.virtualemployee.com/ir/front-end-developer/,Wasi,Rahul,2,0.00%,0.00%,2,0,0.00%,158,1,0.63%,31,1,3.23%,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,Hire Virtual Employees,https://www.virtualemployee.com/da/hire-virtual-employees/,Nilanjana Das,Nabil Ahmad,0,0.00%,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,Hire Internet Marketing Company,https://www.virtualemployee.com/da/hire-internet-marketing-company/,Nilanjana Das,Nabil Ahmad,0,0.00%,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,Hire android App Developer Mobile Version,https://www.virtualemployee.com/da/hire-android-app-developer-mobile/,Nilanjana Das,Nabil Ahmad,0,0.00%,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Magento Developer M,https://www.virtualemployee.com/da/magento-developer-m/,Daya,Mohsin,0,0.00%,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,Hire Embedded Developer Programmer,https://www.virtualemployee.com/ir/hire-embedded-developer-programmer/,Wasi,Rahul,0,0.00%,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,Hire Python Developer M,https://www.virtualemployee.com/da/hire-python-developer-m/,Nilanjana Das,Nabil Ahmad,0,0.00%,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Hirecustom Mobile App Developer,https://www.virtualemployee.com/da/hirecustom-mobile-app-developer/Description/,old,old,0,0.00%,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,Hire Larevel Developer,https://www.virtualemployee.com/da/hire-laravel-developer/,old,old,0,0.00%,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,Hire Game Developer,https://www.virtualemployee.com/lp/hire-game-developers/,NA,NA,0,0.00%,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,Hire Web designer India,https://www.virtualemployee.com/lp/hire-web-designer-india/,Old,Old,0,0.00%,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,Hire Outsourcing to India,https://www.virtualemployee.com/ir/business-outsourcing-to-india/,Joyeesha,Rahul,6,0.00%,0.00%,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,1,0,0.00%,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,1,0,0.00%,1,0,0.00%,1,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,Hire web developer india Iteration,https://www.virtualemployee.com/da/hire-web-developers-india-iteration/,Old,Old,4697,14500.00%,3.09%,193,6,3.11%,72,2,2.78%,126,2,1.59%,209,6,2.87%,1008,12,1.19%,322,13,4.04%,470,13,2.77%,853,44,0.00%,550,16,,497,15,3.02%,490,11,2.24%,379,13,3.43%,291,6,2.06%,322,9,2.80%,352,13,3.69%,310,9,2.90%,135,8,5.93%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,Hire Programmer (Desktop),https://www.virtualemployee.com/da/hire-programmer-cr/,Tanumoy,Rajni,5622,25600.00%,4.55%,497,15,3.02%,535,14,2.62%,594,26,4.38%,585,30,5.13%,1840,36,1.96%,589,27,4.58%,598,29,4.85%,5,0,0.00%,458,31,,474,39,8.23%,419,25,5.97%,376,23,6.12%,340,22,6.47%,434,29,6.68%,445,25,5.62%,305,28,9.18%,157,9,5.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,Hire Remote staff (Desktop),https://www.virtualemployee.com/da/hire-remote-staff-new-iteration/,Tanumoy,Rajni,208,1500.00%,7.21%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,2,0,0.00%,49,3,6.12%,155,12,7.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,Web Developer For Hire: Mobile,https://www.virtualemployee.com/da/web-developer-for-hire-m/,Tanumoy,Nabil,14109,38600.00%,2.74%,1148,32,2.79%,686,9,1.31%,770,15,1.95%,644,33,5.12%,3912,36,0.92%,1110,29,2.61%,1305,40,3.07%,1470,37,0.00%,1341,50,,1314,32,2.44%,1270,40,3.15%,1084,37,3.41%,691,27,3.91%,702,34,4.84%,875,44,5.03%,1087,44,4.05%,579,24,4.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,Hire Game Developer,https://www.virtualemployee.com/ir/hire-game-developer/,Shaona Laskar,Rahul Kumar,7550,12200.00%,1.62%,2,0,0.00%,57,2,3.51%,443,14,3.16%,401,9,2.24%,1719,9,0.52%,723,17,2.35%,443,10,2.26%,375,9,0.00%,494,5,,731,11,1.50%,585,10,1.71%,998,24,2.40%,1273,22,1.73%,862,25,2.90%,770,16,2.08%,837,12,1.43%,1,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,Hire Android Developer,https://www.virtualemployee.com/da/hire-android-app-developer/,Tanumoy,Rajni,1,0.00%,0.00%,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,Hire Software Engineer,https://www.virtualemployee.com/ir/hiring-software-engineers/,Joyeesha,Rahul,596,900.00%,1.51%,89,2,2.25%,97,3,3.09%,282,2,0.71%,0,0,,225,1,0.44%,40,1,2.50%,10,0,0.00%,28,0,0.00%,36,,,25,1,4.00%,51,,0.00%,45,,0.00%,22,0,0.00%,19,2,10.53%,71,3,4.23%,62,1,1.61%,19,1,5.26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,Outsourced accounting services,https://www.virtualemployee.com/ir/outsourced-accounting-services/,Vikas,Mohit,5511,11100.00%,2.01%,482,12,2.49%,481,12,2.49%,489,18,3.68%,491,20,4.07%,1566,14,0.89%,530,9,1.70%,514,13,2.53%,84,2,0.00%,462,14,,526,21,3.99%,405,25,6.17%,207,4,1.93%,306,2,0.65%,601,7,1.16%,591,7,1.18%,469,10,2.13%,275,6,2.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,Outsource to India (TA),https://www.virtualemployee.com/ir/ta-hire-outsource-to-india/,Tanumoy,Nabil,16,0.00%,0.00%,0,0,,0,0,,2,0,0.00%,2,0,0.00%,2,0,0.00%,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,1,0,0.00%,1,0,0.00%,3,0,0.00%,7,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,Hire Virtual Assistants,https://www.virtualemployee.com/ir/ta-hiring-virtual-assistants/,Tanumoy,Nabil,12,0,0.00%,0,0,,0,0,,2,0,0.00%,3,0,0.00%,1,0,0.00%,0,0,,0,0,,4,0,0.00%,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,3,0,0.00%,0,0,,2,0,0.00%,1,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,Hire Paralegal Expert,https://www.virtualemployee.com/ir/hire-paralegal/,Vikas,Rahul,302,13,4.30%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5,0,0.00%,72,8,11.11%,223,5,2.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,Hire Mobile App Developers,https://www.virtualemployee.com/ir/hire-mobile-app-developers/,Vikas,Mohit,2791,113,4.05%,468,10,2.14%,62,2,3.23%,210,12,5.71%,303,14,4.62%,381,8,2.10%,89,5,5.62%,128,3,2.34%,81,2,0.00%,353,14,,427,17,3.98%,396,23,5.81%,359,16,4.46%,245,17,6.94%,235,15,6.38%,275,17,6.18%,84,8,9.52%,40,1,2.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,Get Started,https://www.virtualemployee.com/get-started/,Daya,Mukteshwar,1233,7,0.57%,0,0,,553,,0.00%,518,0,0.00%,227,0,0.00%,700,3,0.43%,271,4,1.48%,202,0,0.00%,34,3,0.00%,0,0,,0,0,,28,4,14.29%,0,0,,25,1,4.00%,19,2,10.53%,16,0,0.00%,12,0,0.00%,17,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,Free Trial,https://www.virtualemployee.com/ir/freetrial/,NA,NA,1901,96,5.05%,128,9,7.03%,119,6,5.04%,261,7,2.68%,149,17,11.41%,473,11,2.33%,160,7,4.38%,174,9,5.17%,112,7,0.00%,0,0,,144,7,4.86%,174,6,3.45%,246,4,1.63%,128,7,5.47%,124,9,7.26%,107,10,9.35%,124,7,5.65%,116,8,6.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,Hire Graphic Designer,https://www.virtualemployee.com/ir/hire-graphics-designer/,Kanika,Rahul,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,Hiring a software Developer,https://www.virtualemployee.com/ir/hiring-a-software-developer/,Kanika,Mohit,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,Hire Virtual Assistants,https://www.virtualemployee.com/ir/hiring-virtual-assistants/,Joyeesha,Mohit,14,0,0.00%,0,0,,0,0,,0,0,,0,0,,2,0,0.00%,0,0,,1,0,0.00%,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2,0,0.00%,8,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,Hire Virtual Staffing,https://www.virtualemployee.com/ir/virtual-staffing/,Kanika,Rahul,146,6,4.11%,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,44,3,6.82%,101,3,2.97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,Hire Woocommerce Developer,https://www.virtualemployee.com/lp/hire-woocommerce-developer/,Old,Old,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,Hire PPC Consultant,https://www.virtualemployee.com/ir/hire-ppc-consultants/,Kanika,Rahul,5676,198,3.49%,320,13,4.06%,308,8,2.60%,347,7,2.02%,352,13,3.69%,910,15,1.65%,251,12,4.78%,308,19,6.17%,322,10,0.00%,300,19,,294,12,4.08%,509,12,2.36%,957,30,3.13%,743,27,3.63%,668,27,4.04%,670,27,4.03%,542,20,3.69%,258,12,4.65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,Freelance Web Developer,https://www.virtualemployee.com/ir/freelance-web-developers/,Kanika,Mohit,12,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2,0,0.00%,2,0,0.00%,8,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,Developers for Hire (Mobile),https://www.virtualemployee.com/ir/developers-for-hire-mobile/,Kanika,Mohit,145,3,2.07%,2,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,47,0,0.00%,144,6,4.17%,95,3,3.16%,0,0,,1,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,Outsourcing phillippines,https://www.virtualemployee.com/ir/outsourcing-services-philippines/,Kanika,Rahul,30,2,6.67%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,7,2,28.57%,23,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,freelance software developer,https://www.virtualemployee.com/ir/freelance-software-developer-for-hire/,Kanika,Rahul,225,4,1.78%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,2,0,0.00%,48,2,4.17%,174,2,1.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,Hire Programmer (Mobile),https://www.virtualemployee.com/da/hire-programmer-mobile-cr/,Tanumoy,Nabil,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,Outsource Software Development,https://www.virtualemployee.com/da/outsource-software-development/,Tanumoy,Rajni,559,9,1.61%,205,4,1.95%,97,1,1.03%,154,4,2.60%,1,0,0.00%,111,1,0.90%,24,2,8.33%,34,0,0.00%,29,1,0.00%,31,,,7,0,0.00%,11,1,9.09%,23,,0.00%,9,0,0.00%,3,0,0.00%,40,1,2.50%,74,1,1.35%,26,1,3.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,Software Application Developer,https://www.virtualemployee.com/da/hire-software-application-developer/,Tanumoy,Nabil,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,Hire SEO Expert,https://www.virtualemployee.com/da/hire-seo-expert/,Tanumoy,Nabil,4940,232,4.70%,548,14,2.55%,459,21,4.58%,463,25,5.40%,461,19,4.12%,1096,27,2.46%,380,28,7.37%,355,21,5.92%,359,15,0.00%,458,31,,539,26,4.82%,348,20,5.75%,560,25,4.46%,361,16,4.43%,269,20,7.43%,178,22,12.36%,267,27,10.11%,216,20,9.26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,Custom software Development,https://www.virtualemployee.com/da/hire-custom-software-development/,Tanumoy,Rajni,1372,14,1.02%,84,1,1.19%,158,6,3.80%,101,2,1.98%,1,0,0.00%,649,1,0.15%,447,6,1.34%,129,2,1.55%,92,1,0.00%,92,2,,93,4,4.30%,63,1,1.59%,82,,0.00%,72,3,4.17%,54,0,0.00%,55,1,1.82%,74,1,1.35%,41,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,Hire Web designer,https://www.virtualemployee.com/da/hire-webdesigner-new-iteration/,Tanumoy,Rajni,7589,356,4.69%,579,18,3.11%,547,28,5.12%,579,30,5.18%,629,33,5.25%,1554,17,1.09%,477,30,6.29%,786,41,5.22%,1,0,0.00%,665,46,,640,44,6.88%,705,38,5.39%,719,47,6.54%,788,31,3.93%,829,61,7.36%,903,55,6.09%,687,51,7.42%,303,19,6.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,Hire remote staff,https://www.virtualemployee.com/da/hire-remote-staff-m-iteration/,Simli saha,Rajni,1,0,0.00%,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,Programmers,https://www.virtualemployee.com/service/programmers/,old,old,3,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
